MJD, counts, counts_err
5.759089834881949355e+04,9.722849999999999548e-01,2.064860000000000029e-01
5.759089869604171690e+04,1.405319999999999903e+00,2.479169999999999985e-01
5.759089904326394026e+04,1.275300000000000100e+00,2.355450000000000044e-01
5.759089939048616361e+04,9.812039999999999651e-01,2.060009999999999897e-01
5.759089973770838697e+04,8.997889999999999500e-01,1.977700000000000014e-01
5.759090008493060304e+04,1.026049999999999907e+00,2.109270000000000034e-01
5.759090043215282640e+04,8.912569999999999659e-01,1.973040000000000072e-01
5.759090077937504975e+04,1.375280000000000058e+00,2.447090000000000098e-01
5.759090112659728038e+04,9.380939999999999834e-01,2.014730000000000132e-01
5.759090147381949646e+04,1.199889999999999901e+00,2.286350000000000049e-01
5.759090182104171981e+04,9.795230000000000325e-01,2.057589999999999975e-01
5.759090216826394317e+04,9.477560000000000429e-01,2.031439999999999912e-01
5.759090251548615925e+04,9.526550000000000296e-01,2.055790000000000117e-01
5.759090286270838988e+04,1.244459999999999900e+00,2.326809999999999989e-01
5.759090320993061323e+04,1.452450000000000019e+00,2.510519999999999974e-01
5.759090355715283658e+04,1.065280000000000005e+00,2.145179999999999865e-01
5.759090390437505266e+04,1.031269999999999909e+00,2.119250000000000023e-01
5.759090425159728329e+04,1.156409999999999938e+00,2.231960000000000055e-01
5.759090459881949937e+04,9.719569999999999599e-01,2.055180000000000062e-01
5.759090494604172272e+04,1.064079999999999915e+00,2.147699999999999887e-01
5.759090529326395335e+04,1.192209999999999992e+00,2.272909999999999930e-01
5.759090564048616216e+04,1.203570000000000029e+00,2.286350000000000049e-01
5.759090598770839279e+04,1.033959999999999990e+00,2.109270000000000034e-01
5.759090633493060886e+04,1.472979999999999956e+00,2.507570000000000077e-01
5.759090668215283222e+04,1.207240000000000091e+00,2.278270000000000017e-01
5.759090702937506285e+04,1.155359999999999943e+00,2.229339999999999933e-01
5.759090737659727165e+04,8.095649999999999791e-01,1.876740000000000075e-01
5.759090772381950228e+04,1.394449999999999967e+00,2.464619999999999866e-01
5.759082954284408333e+04,9.431249999999999911e-01,2.021840000000000026e-01
5.759082989006630669e+04,1.071229999999999905e+00,2.160390000000000088e-01
5.759083023728852277e+04,1.015449999999999964e+00,2.099370000000000125e-01
5.759083058451075340e+04,1.372849999999999904e+00,2.438430000000000042e-01
5.759083093173296947e+04,1.237249999999999961e+00,2.321320000000000050e-01
5.759083127895519283e+04,1.319530000000000092e+00,2.397199999999999886e-01
5.759083162617742346e+04,1.621580000000000021e+00,2.654079999999999773e-01
5.759083197339963226e+04,1.285509999999999931e+00,2.361000000000000043e-01
5.759083232062186289e+04,1.361869999999999914e+00,2.432690000000000130e-01
5.759083266784407897e+04,1.286119999999999930e+00,2.358220000000000038e-01
5.759083301506630232e+04,1.333609999999999962e+00,2.402859999999999996e-01
5.759083336228853295e+04,1.257810000000000095e+00,2.346219999999999972e-01
5.759083370951074176e+04,1.105990000000000029e+00,2.190229999999999955e-01
5.759083405673297239e+04,1.342030000000000056e+00,2.401610000000000134e-01
5.759083440395518846e+04,1.468879999999999963e+00,2.511669999999999736e-01
5.759083475117741182e+04,1.225519999999999943e+00,2.350230000000000097e-01
5.759083509839964245e+04,1.029800000000000049e+00,2.119240000000000013e-01
5.759083544562185125e+04,1.317760000000000042e+00,2.385960000000000025e-01
5.759083579284408188e+04,1.355450000000000044e+00,2.426979999999999971e-01
5.759083614006629796e+04,1.048820000000000086e+00,2.125219999999999887e-01
5.759083648728852859e+04,1.073990000000000000e+00,2.160390000000000088e-01
5.759083683451073739e+04,1.449470000000000036e+00,2.504609999999999892e-01
5.759083718173296802e+04,1.068550000000000111e+00,2.160390000000000088e-01
5.759083752895519137e+04,1.697429999999999994e+00,2.710259999999999891e-01
5.759083787617740745e+04,1.201810000000000045e+00,2.278260000000000007e-01
5.759083822339963808e+04,1.419410000000000061e+00,2.470410000000000106e-01
5.759083857062184688e+04,1.288380000000000081e+00,2.369380000000000097e-01
5.759083891784407751e+04,1.316009999999999902e+00,2.385960000000000025e-01
5.759083926506630087e+04,1.588789999999999925e+00,2.625109999999999943e-01
5.759083961228851695e+04,1.366430000000000033e+00,2.429830000000000045e-01
5.759083995951074758e+04,1.332189999999999985e+00,2.405700000000000061e-01
5.759084030673295638e+04,9.890700000000000047e-01,2.067279999999999951e-01
5.759084065395518701e+04,1.205470000000000041e+00,2.272899999999999920e-01
5.759084100117741036e+04,1.079250000000000043e+00,2.152749999999999941e-01
5.759084134839962644e+04,1.424439999999999928e+00,2.479159999999999975e-01
5.759084169562185707e+04,1.241489999999999982e+00,2.313129999999999908e-01
5.759084204284407315e+04,9.430530000000000301e-01,2.021840000000000026e-01
5.759084239006629650e+04,9.410020000000000051e-01,2.017089999999999994e-01
5.759084273728851986e+04,9.398370000000000335e-01,2.012349999999999972e-01
5.759084308451075049e+04,9.844380000000000353e-01,2.069719999999999893e-01
5.759084343173296656e+04,1.205130000000000035e+00,2.294470000000000121e-01
5.759084377895518264e+04,9.382460000000000244e-01,2.012349999999999972e-01
5.759084412617741327e+04,1.150009999999999977e+00,2.234569999999999890e-01
5.759084447339962935e+04,1.150570000000000093e+00,2.237200000000000022e-01
5.759076190429087728e+04,1.070829999999999949e+00,2.145170000000000132e-01
5.759076225151309336e+04,1.162449999999999983e+00,2.239839999999999887e-01
5.759076259873531671e+04,1.402570000000000094e+00,2.476240000000000108e-01
5.759076294595754007e+04,9.316309999999999869e-01,2.009990000000000110e-01
5.759076329317976342e+04,1.188390000000000057e+00,2.267569999999999864e-01
5.759076364040198678e+04,9.752859999999999863e-01,2.057579999999999965e-01
5.759076398762420285e+04,7.753170000000000339e-01,1.828829999999999900e-01
5.759076433484643348e+04,1.414009999999999989e+00,2.476240000000000108e-01
5.759076468206864956e+04,7.723449999999999482e-01,1.826679999999999970e-01
5.759076502929088019e+04,1.330600000000000005e+00,2.397199999999999886e-01
5.759076537651310355e+04,1.025220000000000020e+00,2.111750000000000016e-01
5.759076572373531963e+04,1.068060000000000009e+00,2.150219999999999909e-01
5.759076607095754298e+04,1.331180000000000030e+00,2.400029999999999941e-01
5.759076641817975906e+04,8.560079999999999911e-01,1.925489999999999979e-01
5.759076676540198969e+04,1.241800000000000015e+00,2.321320000000000050e-01
5.759076711262421304e+04,9.462350000000000483e-01,2.029019999999999990e-01
5.759076745984643640e+04,9.775829999999999798e-01,2.064850000000000019e-01
5.759076780706865247e+04,1.504399999999999959e+00,2.550169999999999937e-01
5.759076815429088310e+04,1.327430000000000110e+00,2.400029999999999941e-01
5.759076850151309918e+04,6.822049999999999503e-01,1.720180000000000042e-01
5.759076884873532254e+04,1.068349999999999911e+00,2.145170000000000132e-01
5.759076919595755317e+04,6.853409999999999780e-01,1.724239999999999939e-01
5.759076954317976197e+04,8.980110000000000037e-01,1.973030000000000062e-01
5.759076989040199260e+04,9.765979999999999661e-01,2.064850000000000019e-01
5.759077023762420868e+04,1.030559999999999921e+00,2.114240000000000008e-01
5.759077058484643203e+04,9.020319999999999450e-01,1.970709999999999962e-01
5.759077093206866266e+04,9.038749999999999840e-01,1.970709999999999962e-01
5.759077127929087146e+04,7.306540000000000257e-01,1.768959999999999977e-01
5.759077162651310209e+04,9.005119999999999791e-01,1.970709999999999962e-01
5.759077197373531817e+04,1.150409999999999933e+00,2.231950000000000045e-01
5.759077232095754880e+04,1.196050000000000058e+00,2.283640000000000114e-01
5.759077266817975760e+04,7.305150000000000254e-01,1.775210000000000121e-01
5.759077301540198823e+04,1.158050000000000024e+00,2.231950000000000045e-01
5.759077336262421159e+04,8.992639999999999523e-01,1.970709999999999962e-01
5.759077370984642766e+04,8.977380000000000360e-01,1.970709999999999962e-01
5.759077405706865829e+04,8.479330000000000478e-01,1.918710000000000138e-01
5.759077440429086710e+04,8.103200000000000403e-01,1.874520000000000075e-01
5.759077475151311228e+04,1.124779999999999891e+00,2.213640000000000052e-01
5.759077509873532108e+04,1.207189999999999985e+00,2.280939999999999912e-01
5.759077544595755171e+04,1.077020000000000088e+00,2.152749999999999941e-01
5.759077579317976779e+04,9.815500000000000336e-01,2.064850000000000019e-01
5.759077614040197659e+04,1.116489999999999982e+00,2.197969999999999924e-01
5.759077648762420722e+04,8.125989999999999602e-01,1.872320000000000095e-01
5.759077683484643057e+04,1.414949999999999930e+00,2.482090000000000130e-01
5.759069426574924728e+04,1.369050000000000100e+00,2.441309999999999869e-01
